Squarefree monomial ideals in 5 variables up to relabeling
Total representatives: 210

1: ()   (0)
2: ((),)   (1)
3: ((1,),)   (x1)
4: ((1, 2),)   (x1*x2)
5: ((1, 2, 3),)   (x1*x2*x3)
6: ((1, 2, 3, 4),)   (x1*x2*x3*x4)
7: ((1, 2, 3, 4, 5),)   (x1*x2*x3*x4*x5)
8: ((1,), (2,))   (x1, x2)
9: ((1,), (2, 3))   (x1, x2*x3)
69: ((1, 2), (1, 3), (2, 4), (3, 5))   (x1*x2, x1*x3, x2*x4, x3*x5)
70: ((1, 2), (1, 3), (2, 4), (2, 3, 5))   (x1*x2, x1*x3, x2*x4, x2*x3*x5)
71: ((1, 2), (1, 3), (2, 4), (3, 4, 5))   (x1*x2, x1*x3, x2*x4, x3*x4*x5)
72: ((1, 2), (1, 3), (2, 3, 4), (2, 3, 5))   (x1*x2, x1*x3, x2*x3*x4, x2*x3*x5)
73: ((1, 2), (1, 3), (2, 3, 4), (4, 5))   (x1*x2, x1*x3, x2*x3*x4, x4*x5)
74: ((1, 2), (1, 3), (2, 3, 4), (1, 4, 5))   (x1*x2, x1*x3, x2*x3*x4, x1*x4*x5)
75: ((1, 2), (1, 3), (2, 3, 4), (2, 4, 5))   (x1*x2, x1*x3, x2*x3*x4, x2*x4*x5)
76: ((1, 2), (1, 3), (1, 4, 5), (2, 4, 5))   (x1*x2, x1*x3, x1*x4*x5, x2*x4*x5)
77: ((1, 2), (1, 3), (1, 4, 5), (2, 3, 4, 5))   (x1*x2, x1*x3, x1*x4*x5, x2*x3*x4*x5)
78: ((1, 2), (1, 3), (2, 4, 5), (3, 4, 5))   (x1*x2, x1*x3, x2*x4*x5, x3*x4*x5)
79: ((1, 2), (3, 4), (1, 3, 5), (2, 3, 5))   (x1*x2, x3*x4, x1*x3*x5, x2*x3*x5)
80: ((1, 2), (3, 4), (1, 3, 5), (2, 4, 5))   (x1*x2, x3*x4, x1*x3*x5, x2*x4*x5)
81: ((1, 2), (1, 3, 4), (2, 3, 4), (1, 3, 5))   (x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5)
82: ((1, 2), (1, 3, 4), (2, 3, 4), (3, 4, 5))   (x1*x2, x1*x3*x4, x2*x3*x4, x3*x4*x5)
83: ((1, 2), (1, 3, 4), (1, 3, 5), (1, 4, 5))   (x1*x2, x1*x3*x4, x1*x3*x5, x1*x4*x5)
84: ((1, 2), (1, 3, 4), (1, 3, 5), (2, 4, 5))   (x1*x2, x1*x3*x4, x1*x3*x5, x2*x4*x5)
85: ((1, 2), (1, 3, 4), (1, 3, 5), (3, 4, 5))   (x1*x2, x1*x3*x4, x1*x3*x5, x3*x4*x5)
86: ((1, 2), (1, 3, 4), (1, 3, 5), (2, 3, 4, 5))   (x1*x2, x1*x3*x4, x1*x3*x5, x2*x3*x4*x5)
87: ((1, 2), (1, 3, 4), (2, 3, 5), (3, 4, 5))   (x1*x2, x1*x3*x4, x2*x3*x5, x3*x4*x5)
