original_index,table_type,ideal,betti_dictionary,total_betti_vector,pd,reg
111,83,"(x1*x2, x1*x3, x2*x3, x1*x4*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 2, (2, 3): 2, (2, 4): 4, (3, 5): 2}","(1, 5, 6, 2)",3,2
112,84,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x1*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 1, (2, 3): 6, (2, 4): 1, (3, 4): 4, (4, 5): 1}","(1, 5, 7, 4, 1)",4,2
113,82,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 1, (2, 3): 4, (2, 4): 2, (3, 4): 1, (3, 5): 1}","(1, 5, 6, 2)",3,2
114,85,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x3*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 2, (2, 3): 3, (2, 4): 3, (3, 4): 1, (3, 5): 1}","(1, 5, 6, 2)",3,2
115,86,"(x1*x2, x1*x3, x1*x4, x1*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 4): 1, (2, 3): 6, (2, 5): 1, (3, 4): 4, (4, 5): 1}","(1, 5, 7, 4, 1)",4,3
116,79,"(x1*x2, x1*x3, x1*x4, x2*x5, x3*x5)","{(0, 0): 1, (1, 2): 5, (2, 3): 6, (3, 4): 2}","(1, 5, 6, 2)",3,1
117,82,"(x1*x2, x1*x3, x1*x4, x2*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 1, (2, 3): 4, (2, 4): 2, (3, 4): 1, (3, 5): 1}","(1, 5, 6, 2)",3,2
118,85,"(x1*x2, x1*x3, x1*x4, x2*x3*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 2, (2, 3): 3, (2, 4): 3, (3, 4): 1, (3, 5): 1}","(1, 5, 6, 2)",3,2
119,82,"(x1*x2, x1*x3, x2*x4, x3*x4, x2*x3*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 1, (2, 3): 4, (2, 4): 2, (3, 4): 1, (3, 5): 1}","(1, 5, 6, 2)",3,2
120,87,"(x1*x2, x1*x3, x2*x4, x3*x5, x4*x5)","{(0, 0): 1, (1, 2): 5, (2, 3): 5, (3, 5): 1}","(1, 5, 5, 1)",3,2
