table_type,count,original_indices,example_index,example_ideal,betti_dictionary,total_betti_vector,pd,reg
64,1,[83],83,"(x1*x2, x1*x3*x4, x1*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 3, (2, 4): 5, (3, 5): 2}","(1, 4, 5, 2)",3,2
65,1,[86],86,"(x1*x2, x1*x3*x4, x1*x3*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 2, (1, 4): 1, (2, 4): 3, (2, 5): 1, (3, 5): 1}","(1, 4, 4, 1)",3,3
66,3,"[88, 90, 95]",88,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4)","{(0, 0): 1, (1, 3): 4, (2, 4): 3}","(1, 4, 3)",2,2
67,2,"[89, 94]",89,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5)","{(0, 0): 1, (1, 3): 4, (2, 4): 4, (3, 5): 1}","(1, 4, 4, 1)",3,2
68,2,"[91, 96]",91,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 3, (1, 4): 1, (2, 4): 2, (2, 5): 1}","(1, 4, 3)",2,3
69,1,[92],92,"(x1*x2*x3, x1*x2*x4, x1*x2*x5, x3*x4*x5)","{(0, 0): 1, (1, 3): 4, (2, 4): 3, (2, 5): 1, (3, 5): 1}","(1, 4, 4, 1)",3,3
70,1,[93],93,"(x1*x2*x3, x1*x2*x4, x1*x2*x5, x1*x3*x4*x5)","{(0, 0): 1, (1, 3): 3, (1, 4): 1, (2, 4): 3, (2, 5): 1, (3, 5): 1}","(1, 4, 4, 1)",3,3
71,1,[97],97,"(x1*x2*x3, x1*x2*x4, x1*x3*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 2, (1, 4): 2, (2, 4): 1, (2, 5): 2}","(1, 4, 3)",2,3
72,1,[98],98,"(x1*x2*x3, x1*x2*x4*x5, x1*x3*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 1, (1, 4): 3, (2, 5): 3}","(1, 4, 3)",2,3
73,1,[99],99,"(x1*x2*x3*x4, x1*x2*x3*x5, x1*x2*x4*x5, x1*x3*x4*x5)","{(0, 0): 1, (1, 4): 4, (2, 5): 3}","(1, 4, 3)",2,3
74,1,[100],100,"(x1, x2, x3, x4, x5)","{(0, 0): 1, (1, 1): 5, (2, 2): 10, (3, 3): 10, (4, 4): 5, (5, 5): 1}","(1, 5, 10, 10, 5, 1)",5,0
75,1,[101],101,"(x1, x2, x3*x4, x3*x5, x4*x5)","{(0, 0): 1, (1, 1): 2, (1, 2): 3, (2, 2): 1, (2, 3): 8, (3, 4): 7, (4, 5): 2}","(1, 5, 9, 7, 2)",4,1
76,2,"[102, 104]",102,"(x1, x2*x3, x2*x4, x3*x4, x2*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 4, (2, 3): 8, (3, 4): 5, (4, 5): 1}","(1, 5, 8, 5, 1)",4,1
77,1,[103],103,"(x1, x2*x3, x2*x4, x2*x5, x3*x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 3, (1, 3): 1, (2, 3): 6, (2, 4): 2, (3, 4): 4, (3, 5): 1, (4, 5): 1}","(1, 5, 8, 5, 1)",4,2
78,1,[105],105,"(x1, x2*x3*x4, x2*x3*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 3): 4, (2, 4): 7, (3, 5): 3}","(1, 5, 7, 3)",3,2
79,3,"[106, 108, 116]",106,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4)","{(0, 0): 1, (1, 2): 5, (2, 3): 6, (3, 4): 2}","(1, 5, 6, 2)",3,1
80,1,[107],107,"(x1*x2, x1*x3, x2*x3, x1*x4, x1*x5)","{(0, 0): 1, (1, 2): 5, (2, 3): 7, (3, 4): 4, (4, 5): 1}","(1, 5, 7, 4, 1)",4,1
81,1,[109],109,"(x1*x2, x1*x3, x2*x3, x1*x4, x4*x5)","{(0, 0): 1, (1, 2): 5, (2, 3): 5, (2, 4): 1, (3, 4): 1, (3, 5): 1}","(1, 5, 6, 2)",3,2
82,4,"[110, 113, 117, 119]",110,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 1, (2, 3): 4, (2, 4): 2, (3, 4): 1, (3, 5): 1}","(1, 5, 6, 2)",3,2
83,3,"[111, 122, 123]",111,"(x1*x2, x1*x3, x2*x3, x1*x4*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 2, (2, 3): 2, (2, 4): 4, (3, 5): 2}","(1, 5, 6, 2)",3,2
84,1,[112],112,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x1*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 1, (2, 3): 6, (2, 4): 1, (3, 4): 4, (4, 5): 1}","(1, 5, 7, 4, 1)",4,2
85,2,"[114, 118]",114,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x3*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 2, (2, 3): 3, (2, 4): 3, (3, 4): 1, (3, 5): 1}","(1, 5, 6, 2)",3,2
86,1,[115],115,"(x1*x2, x1*x3, x1*x4, x1*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 4): 1, (2, 3): 6, (2, 5): 1, (3, 4): 4, (4, 5): 1}","(1, 5, 7, 4, 1)",4,3
87,1,[120],120,"(x1*x2, x1*x3, x2*x4, x3*x5, x4*x5)","{(0, 0): 1, (1, 2): 5, (2, 3): 5, (3, 5): 1}","(1, 5, 5, 1)",3,2
88,1,[121],121,"(x1*x2, x1*x3, x2*x4, x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 1, (2, 3): 3, (2, 4): 3, (3, 5): 2}","(1, 5, 6, 2)",3,2
89,1,[124],124,"(x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 2, (2, 3): 1, (2, 4): 6, (3, 5): 3}","(1, 5, 7, 3)",3,2
90,5,"[125, 126, 127, 128, 129]",125,"(x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 3, (2, 3): 1, (2, 4): 5, (3, 5): 2}","(1, 5, 6, 2)",3,2
